id,latitude,longitude,scientific_name
737631,25.019448,121.537451,Gallinula chloropus
737633,25.019351,121.537521,Gallinula chloropus
737636,25.019487,121.537398,Gallinula chloropus
737650,25.019847,121.53758,Egretta garzetta
739241,25.01966,121.537846,Nycticorax nycticorax
760673,25.019769,121.537695,Pseudozizeeria maha okinawana
760674,25.019856,121.53759,Orthetrum pruinosum neglectum
760675,25.019823,121.537803,Gallinula chloropus
760676,25.020702,121.537806,Sinictinogomphus clavatus
760677,25.020823,121.537742,Cygnus atratus
760678,25.020971,121.53762,Passer montanus
760679,25.020959,121.537574,Diploderma swinhonis
760680,25.019767,121.5377,Gallinula chloropus
825929,25.02636,121.536513,Zosterops simplex simplex
825948,25.026369,121.535749,Pycnonotus sinensis formosae
852283,25.02675,121.53602,Dendrocitta formosae
2971882,25.017718,121.528641,Hirundo rustica
2971883,25.015968,121.539578,Trachemys scripta elegans
2971884,25.016123,121.539846,Anas platyrhynchos
2981324,25.01636602,121.54006208,Anatidae
2981325,25.0154933929,121.5410995483,Pieris rapae crucivora
3149783,25.01370555,121.5374,Spiranthes sinensis
3156329,25.015358,121.53926,Broussonetia papyrifera
3187348,25.016741,121.539466,Triadica sebifera
4340797,25.0264479135,121.5360403061,Gorsachius melanolophus
4340939,25.0147833333,121.5360694444,Polypodiopsida
4517264,25.010212,121.529109,Nycticorax nycticorax
4517265,25.010095,121.529807,Oreochromis niloticus
4580951,25.0201624559,121.5365123749,Columba livia domestica
4580952,25.0201624559,121.5365123749,Gallinula chloropus
4580953,25.0201624559,121.5365123749,Cygnus atratus
4580955,25.0201624559,121.5365123749,Anas platyrhynchos × cairina moschata
4580956,25.0201624559,121.5365123749,Anas platyrhynchos
4580957,25.0201624559,121.5365123749,Anser cygnoides domesticus
4580958,25.0201624559,121.5365123749,Pica serica
4580959,25.0201624559,121.5365123749,Passer montanus
4580961,25.0201624559,121.5365123749,Anatidae
4580963,25.0201624559,121.5365123749,Terminalia catappa
4580964,25.0201624559,121.5365123749,Ficus microcarpa
4580965,25.0201624559,121.5365123749,Cinnamomum camphora
4614892,25.01599,121.539519,Cairina moschata domestica
4614893,25.016049,121.539755,Nycticorax nycticorax
4614894,25.016257,121.540082,Trachemys scripta elegans
4614895,25.016303,121.540469,Pycnonotus sinensis formosae
4614896,25.016135,121.539728,Oreochromis
4614897,25.015923,121.539388,Anas platyrhynchos domesticus
4614928,25.015924,121.539534,Gallinula chloropus
4614929,25.016028,121.539759,Trachemys scripta elegans
4614930,25.017283,121.536086,Arecoideae
4614931,25.016122,121.539457,Dendrocitta formosae
4857116,25.016065,121.539739,Nycticorax nycticorax
4857117,25.016415,121.540638,Diploderma swinhonis
8476117,25.0160584961,121.539150997,Zosterops simplex
8476118,25.0160679147,121.539539247,Nycticorax nycticorax
8476120,25.0161368826,121.539964377,Nycticorax nycticorax
8476121,25.0161037658,121.540103852,Amaurornis phoenicurus
8476122,25.0162869713,121.540032774,Pycnonotus sinensis formosae
8476123,25.0163018586,121.540044844,Gallinula chloropus
8476124,25.0160588,121.53960295,Nycticorax nycticorax
8624591,25.0208348469,121.5385458005,Psilopogon nuchalis
8640044,25.01623055,121.5350716667,Microsorum scolopendria
8703198,25.0209462273,121.5384497703,Saccharomyces cerevisiae
8706846,25.019372799,121.5364262924,Cyperus brevifolius
8736399,25.0152464116,121.5375253295,Oxalis debilis
8738631,25.0162569146,121.5402300042,Amaurornis phoenicurus
8739119,25.0169805974,121.539941579,Ixeris chinensis
8739120,25.0170030802,121.5399670601,Acalypha herzogiana
8739121,25.0170030802,121.539760529,Alternanthera philoxeroides
8739122,25.0208627653,121.535780131,Eleusine indica
8739123,25.0199391741,121.535573601,Pipistrellus abramus
8746587,25.0157101074,121.5387001213,Lygodium japonicum
8746601,25.0156379516,121.5388255062,Solanum diphyllum
8749823,25.0153259752,121.538312137,Antigonon leptopus
8749824,25.0155362222,121.538489833,Potentilla indica
8749825,25.0155714659,121.538562923,Oxalis debilis
8749826,25.0155429063,121.538544148,Dichondra micrantha
8749827,25.0155495905,121.53829202,Cyperus brevifolius
8749828,25.0160733835,121.538966596,Mazus pumilus
8749829,25.0161171341,121.538902223,Oplismenus compositus
8749830,25.0161803293,121.538942456,Drymaria cordata
8749831,25.0161475164,121.539010852,Christella parasitica
8749832,25.0161560235,121.5390765667,Phyllanthus tenellus
8749833,25.0162277258,121.5390229225,Melothria pendula
8749834,25.0161511623,121.5391623974,Plantago asiatica
8749835,25.0162289411,121.5390980244,Hydrocotyle
8749836,25.016211927,121.53917849,Rumex japonicus
8749837,25.0163055045,121.540022045,Neurothemis taiwanensis
8749838,25.0159603611,121.53928712,Magnoliopsida
8749840,25.0158436926,121.538926363,Hydrocotyle
8749842,25.0157695595,121.538963913,Morus indica
8749843,25.0158145255,121.539103388,Causonis japonica
8749844,25.0157835354,121.539119482,Lepidagathis inaequalis
8749845,25.0161766835,121.5406215191,Calyptocarpus vialis
8749846,25.0160745988,121.540423035,Cenchrus alopecuroides
8749848,25.015268856,121.538793593,Crassocephalum crepidioides
8749849,25.0152421193,121.538866013,Pilea microphylla
8749850,25.0152117367,121.53871715,Angiospermae
8749851,25.0156200778,121.540830731,Danaus chrysippus
8763415,25.0234574201,121.5414929244,Gahnia tristis
8771844,25.0192403289,121.5361442428,Axonopus compressus
8813302,25.0164197419,121.539875864,Streptopelia orientalis
8879021,25.0171611775,121.5404404095,Morus indica
8890881,25.014790384,121.53808357,Pteris vittata
8895186,25.015718517,121.5375946462,Gorsachius melanolophus
8895187,25.0160976894,121.5399831533,Ardea cinerea
8937983,25.0160339477,121.5383798639,Centella asiatica
8963073,25.0160405705,121.5406537056,Euploea eunice
8963271,25.0201870862,121.5380465984,Stauridium tetras
8963272,25.0202563556,121.5378709137,Sphaeropleales
8963274,25.0203851723,121.5378467739,Chlorophyta
8963275,25.0202855217,121.537937969,Trachelomonas planctonica
8963276,25.0200898658,121.5380372107,Desmodesmus communis
8963525,25.0157258088,121.5384596586,Bradybaena similaris
8963529,25.0199561877,121.5379869193,Lepocinclis oxyuris
8973425,25.0168029784,121.5385865607,Theretra
8996447,25.0205856887,121.5377166867,Hydrodictyaceae
9130822,25.0210342473,121.5385822337,Azolla filiculoides
9130830,25.0211579473,121.538578319,Azolla pinnata
9130856,25.0211382528,121.5385904014,Lemna aequinoctialis
9169157,25.0183496088,121.5370380878,Passer montanus
9169158,25.0200218115,121.537027359,Callosciurus erythraeus thaiwanensis
9169159,25.0158607068,121.5406322479,Dicrurus macrocercus harterti
9199335,25.0171534716,121.5382967144,Thunbergia alata
9199352,25.0171306851,121.5383121371,Ipomoea aquatica
9199362,25.0160065423,121.5396485478,Nycticorax nycticorax
9217374,25.0202545327,121.5376680717,Neocopepoda
9217425,25.0202299238,121.5376134217,Euglena
9217442,25.0184848077,121.5368255228,Potentilla indica
9217862,25.0159166104,121.5385327488,Phyllanthus tenellus
9217871,25.0156462068,121.5390497446,Erigeron bellioides
9217872,25.0159564113,121.539260298,Ludwigia octovalvis
9217874,25.015770471,121.5394091606,Centella asiatica
9217876,25.015676893,121.5389129519,Dichondra micrantha
9217877,25.0158695177,121.5384512767,Bonnaya ruelloides
9217881,25.0175569452,121.5380465984,Commelina diffusa
9217882,25.015865568,121.5393726155,Triadica sebifera
9217889,25.0157078831,121.5388951823,Typhonium blumei
9217891,25.0158786324,121.5382021666,Mazus pumilus
9217892,25.0174578998,121.5395087376,Mazus fauriei
9217914,25.0161411361,121.5386286378,Fejervarya limnocharis
9217916,25.0153858287,121.5381096303,Oplismenus compositus
9217918,25.017484636,121.5394698456,Torenia crustacea
9217919,25.0176496102,121.5396555886,Dicliptera chinensis
9217921,25.015870733,121.5373726934,Cyperoideae
9217922,25.015475761,121.538262181,Murdannia loriformis
9217925,25.019666045,121.5375376493,Eclipta prostrata
9217928,25.0195059346,121.5374762937,Rotala rotundifolia
9217931,25.0145554714,121.5352021158,Oxalis debilis
9217934,25.0198182561,121.5342479199,Rumex
9217937,25.0199045393,121.5373736992,Rorippa indica
9217953,25.0130019923,121.5286478028,Paederia foetida
9217956,25.0130174877,121.5286779776,Ipomoea nil
9217958,25.0143114978,121.5349533409,Passiflora suberosa
9217961,25.0163410518,121.5379694849,Persicaria chinensis
9255912,25.0185829408,121.5376925468,Hypsipetes leucocephalus nigerrimus
9255913,25.0202259743,121.5373921394,Egretta garzetta
9255918,25.0192829341,121.5379285812,Copsychus saularis
9255920,25.0196864006,121.5379983187,Gallinula chloropus
9352918,25.0208992227,121.5377093107,Pithya cupressina
9361361,25.0160132264,121.5391432866,Brugmansia
9361397,25.0169687484,121.5382286534,Polygonaceae
9361409,25.0167311598,121.5380945429,Bubulcus coromandus
9361415,25.0162167881,121.5399197862,Nycticorax nycticorax
9361450,25.0172154511,121.5360594168,Parmelia
9361480,25.0166907515,121.5352564305,Selaginella delicatula
9559405,25.0264864286,121.5286248035,Rivina humilis
9944614,25.0158277778,121.5389111111,Diploderma swinhonis
9963482,25.0157676777,121.5378234722,Aeolosoma
9963514,25.0158467309,121.5385163203,Gorsachius melanolophus
9963537,25.0155303,121.5389095,Daphnia
9963565,25.0155281,121.5388908,Pieris rapae
9963575,25.0155294,121.5388885,Diploderma swinhonis
10428371,25.0154815337,121.5387547016,Treron sieboldii
10446818,25.0157592295,121.5387469903,Urocissa caerulea
10446819,25.0157883966,121.538804993,Turdus pallidus
10448168,25.0163158345,121.5399673954,Streptopelia tranquebarica
10448181,25.015701199,121.5389722958,Bidens alba
10450770,25.0123915939,121.5353194624,Hirundo rustica
10465435,25.0188884735,121.5277786255,Canna indica
10465952,25.014206171,121.5403962135,Treron sieboldii
10465969,25.0217638652,121.5474835669,Prunus speciosa
10465976,25.015267033,121.5350864455,Accipiter trivirgatus
10488117,25.0156225084,121.5387587249,Treron sieboldii
10523552,25.0171416667,121.5363216667,Plantae
10523557,25.0171805,121.5377283333,Christella
10588092,25.0173405,121.5397518,Mazus pumilus
10588093,25.0173405,121.5397518,Nycticorax nycticorax
10588165,25.0158354894,121.5380170941,Spiranthes sinensis
10588173,25.020931123,121.5388599783,Tessaratoma papillosa
10588213,25.0169553802,121.5382554755,
10747914,25.0192728676,121.5293879675,Rhaphiolepis indica
11043086,25.0208201319,121.5366546056,Urocissa caerulea
11043495,25.0199411942,121.541139435,Dicrurus macrocercus
11067830,25.0210283035,121.5225617559,Rhaphiolepis indica
11148599,25.016612811,121.5415871143,Cuphea carthagenensis
11149158,25.0170211475,121.5339696407,Cleome rutidosperma
11149161,25.0179774109,121.5405893326,Spiranthes sinensis
11149162,25.0178749632,121.5405732393,Scutellaria barbata
11149164,25.0178767051,121.5405571461,Scutellaria barbata
11149166,25.0174780937,121.5403425694,Terminalia mantaly
11149167,25.017692712,121.5394306183,Pinales
11149168,25.0183927103,121.5405893326,Melia azedarach
11150040,25.0168753132,121.5405732393,Terminalia catappa
11150042,25.0168751308,121.540569216,Terminalia catappa
11150045,25.0181878155,121.5410506725,Podocarpus macrophyllus
11150046,25.0173871097,121.5402674675,Terminalia mantaly
11150047,25.0176371333,121.5393340588,Taxodium distichum
11150048,25.0178024111,121.5417909622,Melaleuca linearis linearis
11150049,25.0185315753,121.5410506725,Melia azedarach
11150052,25.0173357437,121.5426278114,Platycladus orientalis
11150054,25.0169176861,121.5372526646,Elaeocarpus serratus
11150055,25.020239909,121.537156105,Citrus maxima
11150437,25.0184114256,121.5344041586,Livistona chinensis
11150438,25.0163510373,121.5387654305,Angiospermae
11150439,25.0166038177,121.5388512611,Pilea microphylla
11150440,25.0167010408,121.5386795998,Pilea microphylla
11150441,25.0185093763,121.5344524384,Pinus luchuensis
