id,latitude,longitude,scientific,university
11443231,25.0127585,121.5409662,Magnoliopsida,NTUST
14448562,25.01267285,121.540884,Rana longicrus,NTUST
17459020,25.0128466,121.5426832,Pinus morrisonicola,NTUST
17847866,25.01306393,121.5416599,Lantana camara,NTUST
21451372,25.0123028,121.5414463,Pterygotrigla hemisticta,NTUST
22117442,25.01435464,121.5414624,Nycticorax nycticorax,NTUST
25377568,25.01333612,121.5414717,Bambusoideae,NTUST
25378161,25.01392778,121.542305,Ficus pumila,NTUST
34342543,25.0143018,121.5417138,Ardisia squamulosa,NTUST
34400597,25.0142797,121.5412052,Hedychium coronarium,NTUST
34400753,25.0132895,121.5400439,Zingiberaceae,NTUST
35003651,25.01498506,121.5424998,Callosciurus erythraeus,NTUST
39340713,25.01424,121.54177,Nycticorax nycticorax,NTUST
41212888,25.01413519,121.5418843,Nycticorax nycticorax,NTUST
41213316,25.01409308,121.5418633,Trachemys scripta elegans,NTUST
45955388,25.01494468,121.5425587,Milionia zonea,NTUST
52776928,25.01337778,121.5415333,Hypsipetes leucocephalus,NTUST
52777579,25.01284167,121.5415583,Callosciurus erythraeus,NTUST
60585712,25.01349806,121.5403426,Gorsachius melanolophus,NTUST
61283974,25.0136928,121.5416013,Veronicellidae,NTUST
63055003,25.01355278,121.5442472,,NTUST
66125298,25.01442782,121.5430604,Notocrypta curvifascia,NTUST
69654801,25.01404111,121.5422476,Ophiopogon,NTUST
69757869,25.01221285,121.5420353,Cyclosorus interruptus,NTUST
69770021,25.01342427,121.5412692,Dombeya wallichii,NTUST
70601257,25.01362778,121.541375,Codiaeum variegatum,NTUST
75135729,25.01424167,121.54235,Gracupica nigricollis,NTUST
75735695,25.01438997,121.5420552,Nycticorax nycticorax,NTUST
75737188,25.01336839,121.5402036,Cenchrus setaceus,NTUST
78012676,25.01291734,121.5447458,Talinum paniculatum,NTUST
81825749,25.01275218,121.5411119,Passiflora edulis,NTUST
94282163,25.01377542,121.5418101,,NTUST
95090551,25.01247211,121.5421812,Lissachatina immaculata,NTUST
101924065,25.01309065,121.5440642,Trabala vishnou,NTUST
103872321,25.01412562,121.5429534,Sedum,NTUST
104071810,25.01344444,121.5428694,Cinnamomum yabunikkei,NTUST
