id,latitude,longitude,scientific,university
13226524,25.02556426,121.5264812,Gorsachius melanolophus,NTNU
14193462,25.02535741,121.5267799,Gorsachius melanolophus,NTNU
14201196,25.02546383,121.5269,Gorsachius melanolophus,NTNU
14642245,25.02577689,121.5279545,Mazus fauriei,NTNU
14642248,25.02579626,121.527955,Plagiostigma,NTNU
14642249,25.02579626,121.527955,Potentilla indica,NTNU
16210504,25.02565872,121.5279895,Ixora coccinea,NTNU
25209746,25.02548626,121.5279988,Trabala vishnou,NTNU
25492570,25.0260598,121.5275321,Aplonis panayensis,NTNU
25492584,25.0260598,121.5275321,Aplonis panayensis,NTNU
25492761,25.0260598,121.5275321,Treron sieboldii,NTNU
25492855,25.0260598,121.5275321,Hypsipetes leucocephalus,NTNU
25493535,25.0260598,121.5275321,Ficus subpisocarpa,NTNU
25493645,25.0260598,121.5275321,Ageratum conyzoides,NTNU
25493739,25.0260598,121.5275321,Lantana camara,NTNU
25493777,25.0260598,121.5275321,Artocarpus altilis,NTNU
25493817,25.0260598,121.5275321,Ficus virgata,NTNU
25495761,25.0260598,121.5275321,Melaleuca cajuputi,NTNU
25496059,25.0260598,121.5275321,Acer serrulatum,NTNU
26163413,25.02515737,121.5267733,Geometridae,NTNU
26734466,25.02527425,121.5282211,Sansevieria trifasciata,NTNU
26734481,25.02529525,121.5281677,Arge similis,NTNU
26734695,25.02524375,121.5281753,Pentas lanceolata,NTNU
26734712,25.02554892,121.5274963,Crinum asiaticum,NTNU
26734754,25.02572439,121.5271225,Canna ? hybrida,NTNU
26735012,25.02618406,121.5276108,Pieris canidia,NTNU
26735118,25.02619169,121.527626,Impatiens hawkeri,NTNU
26735175,25.02647969,121.5282364,Cassia fistula,NTNU
26735268,25.02575111,121.5272446,Magnoliopsida,NTNU
26905843,25.02652547,121.5271835,Commelina,NTNU
26905912,25.02652547,121.5271835,Pseudozizeeria maha okinawana,NTNU
28107353,25.02634167,121.528175,Selepa celtis,NTNU
32090238,25.0260598,121.5275321,Passer montanus,NTNU
32090239,25.0260598,121.5275321,Oxalis corniculata,NTNU
34729720,25.02525779,121.5276801,Gorsachius melanolophus,NTNU
37256212,25.02612978,121.5274689,Pentas lanceolata,NTNU
37333489,25.0262945,121.52768,Mazus pumilus,NTNU
40623516,25.02607523,121.5278957,Oxalis debilis,NTNU
43557734,25.02616589,121.527645,Thymus vulgaris,NTNU
43565896,25.02583443,121.5279517,Gardenia,NTNU
43566550,25.02570627,121.5270764,Lagerstroemia speciosa,NTNU
43566650,25.02620751,121.5270301,Artocarpus altilis,NTNU
43857190,25.02644056,121.5281968,Morus indica,NTNU
43858736,25.02666656,121.5255201,Passiflora suberosa,NTNU
49101136,25.02627788,121.5284491,Codiaeum,NTNU
53134387,25.02614175,121.5275601,,NTNU
58407160,25.02527778,121.5277778,Gorsachius melanolophus,NTNU
63628509,25.02620266,121.5256053,Lepidoptera,NTNU
63628744,25.02528519,121.5256702,,NTNU
64828478,25.02655049,121.5274234,Melaleuca leucadendra,NTNU
64830631,25.0258349,121.5271936,Pterocarpus indicus,NTNU
64830714,25.02604323,121.5275738,Cordyline fruticosa,NTNU
64832537,25.02585588,121.5270096,Heptapleurum heptaphyllum,NTNU
64833032,25.02569525,121.5273043,Citrus maxima,NTNU
65801458,25.02548945,121.5270663,Terminalia mantaly,NTNU
68198204,25.0252744,121.5277977,Ginkgo biloba,NTNU
68198227,25.02588758,121.5279181,Magnolia liliiflora,NTNU
68198267,25.02620171,121.5278882,Ficus religiosa,NTNU
68587508,25.02590283,121.5273967,Mazus fauriei,NTNU
69296903,25.0252555,121.5268467,Anredera cordifolia,NTNU
69298199,25.02536117,121.5252533,Ixeris chinensis,NTNU
69357541,25.02538617,121.5253617,Cyperus polystachyos,NTNU
70033631,25.02567783,121.525345,Emilia javanica,NTNU
70117198,25.0252587,121.5279273,Rhododendron,NTNU
70117462,25.0252728,121.5277067,Oxalis debilis,NTNU
70117711,25.0253729,121.5274107,Asclepias curassavica,NTNU
70117947,25.0257035,121.5272573,Heptapleurum arboricola,NTNU
70118219,25.02570864,121.5276985,Magnoliaceae,NTNU
70118407,25.02550813,121.5277197,Hibiscus rosa-sinensis,NTNU
70118602,25.02564178,121.5277829,Mazus fauriei,NTNU
70119059,25.02612369,121.5275796,Argyranthemum frutescens,NTNU
70119254,25.02573584,121.5275372,Plantago,NTNU
70119435,25.0262191,121.5273859,Calyptocarpus vialis,NTNU
71774767,25.02492748,121.5279658,Homo sapiens,NTNU
72251825,25.02576117,121.5279,Hibiscus rosa-sinensis,NTNU
72345266,25.02515145,121.5272325,Coleus amboinicus,NTNU
72352813,25.02605,121.525895,Spiranthes sinensis,NTNU
72365738,25.0259695,121.525895,Cyperus brevifolius,NTNU
73376894,25.02577191,121.5272474,Magnoliopsida,NTNU
73376921,25.02588298,121.5272213,Plantae,NTNU
73702128,25.02600888,121.5261268,Ginkgo biloba,NTNU
74089860,25.02613187,121.5265348,Calyptocarpus vialis,NTNU
74357159,25.02530067,121.5274577,Duranta erecta,NTNU
74476345,25.02507019,121.5278625,Osmanthus fragrans,NTNU
74476564,25.02509509,121.5275478,,NTNU
74476703,25.02506927,121.5277419,Oxalis debilis,NTNU
74476780,25.02499909,121.5277798,Plantae,NTNU
74476989,25.02529864,121.5279317,Plantae,NTNU
74477366,25.02510542,121.5277291,,NTNU
74477529,25.02487181,121.5277788,Oxalis debilis,NTNU
74477803,25.0248659,121.5277179,Camellia sinensis,NTNU
74477883,25.0251756,121.5277945,,NTNU
74477893,25.02486479,121.5276647,Livistona chinensis,NTNU
74478070,25.02515572,121.5279325,Duranta erecta,NTNU
74478172,25.02518472,121.5279131,Rhododendron,NTNU
74478323,25.02514483,121.5279183,Prunus,NTNU
74478330,25.0252315,121.527585,,NTNU
74478490,25.02534057,121.5273486,,NTNU
74478514,25.02527803,121.5278303,Rhododendron,NTNU
74478573,25.02523492,121.5277986,Ginkgo biloba,NTNU
74478709,25.02519084,121.5274012,Asclepias curassavica,NTNU
74478740,25.0253916,121.5270462,,NTNU
74478814,25.02528468,121.5274543,Ficus microcarpa,NTNU
74478933,25.0253024,121.5274117,Ficus microcarpa,NTNU
74479025,25.02537139,121.5273797,Ficus microcarpa,NTNU
74479071,25.02535131,121.527524,Osmanthus,NTNU
74479125,25.02544566,121.5274581,Osmanthus,NTNU
74479159,25.02547854,121.5274789,Crinum asiaticum,NTNU
74479207,25.02549362,121.5275029,Cordyline,NTNU
74479387,25.02496428,121.5277314,Parthenocissus tricuspidata,NTNU
74484784,25.02501066,121.5272309,Spathiphyllum wallisii,NTNU
74484875,25.02499631,121.5272107,Plantae,NTNU
74484989,25.02499994,121.5271489,Osmanthus fragrans,NTNU
74485339,25.02556279,121.526746,Ficus microcarpa,NTNU
74485455,25.02555711,121.526709,Oplismenus,NTNU
74485763,25.02573624,121.526244,Tracheophyta,NTNU
74485797,25.02573752,121.5262697,Ginkgo biloba,NTNU
74485827,25.02573618,121.5261759,Juniperus,NTNU
74485920,25.02584491,121.5260859,Amaryllidoideae,NTNU
74486002,25.02586159,121.5260985,Chrysomya megacephala,NTNU
74486229,25.02613903,121.5262881,Plectranthinae,NTNU
74486236,25.02617318,121.5262749,Ruellia simplex,NTNU
74486305,25.0262106,121.526313,Stachytarpheta urticifolia,NTNU
74486360,25.02620385,121.5263209,Cordyline fruticosa,NTNU
74493602,25.02603976,121.5272794,Prunus campanulata,NTNU
74493622,25.02625837,121.527342,Magnolia,NTNU
74494226,25.02579117,121.5273972,Hydrangea macrophylla,NTNU
74819812,25.02640601,121.5275714,Gardenia jasminoides,NTNU
74819898,25.02654454,121.5276321,Ginkgo biloba,NTNU
74820125,25.02633383,121.5275476,Mangifera indica,NTNU
74820163,25.02634652,121.5275873,Phoenix dactylifera,NTNU
74820322,25.02642897,121.5277003,Pentas lanceolata,NTNU
74820402,25.02645301,121.5275162,Argyranthemum frutescens,NTNU
